Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Canopy Condition,Tree: Stewardship,Tree: Tree Condition,Planting Site: Plot Type,Planting Site: Powerlines Overhead,Planting Site: Sidewalk Damage,Planting Site: Stewardship
-75.1472706788,39.9525092011,401-499 Arch St,Philadelphia,19106,,,361052,,2014-09-29T22:19:40.383840+00:00,ptmadmin,280050,True,Acer,campestre,,,Hedge maple,,,,,,,,,,,,
-75.1498769992,39.9535102758,,Philadelphia,19106,,,368359,,2014-09-29T22:19:45.965713+00:00,ptmadmin,280287,True,Quercus,alba,,,White oak,,,,,,,,,,,,
-75.1526529485,39.9482586384,128 S 7th St,Philadelphia,19106,,,369358,,2014-09-29T22:20:10.784056+00:00,ptmadmin,281325,True,Acer,campestre,,,Hedge maple,,,,,,,,,,,,
-75.1506716518,39.9498799235,2-28 South 6th Street,Philadelphia,19106,,,369683,,2014-09-29T22:20:18.822028+00:00,ptmadmin,281669,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.152085963,39.9494382491,615 Chestnut Street,Philadelphia,19106,,,369745,,2014-09-29T22:20:19.932722+00:00,ptmadmin,281718,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1451321032,39.9485826867,,Philadelphia,19106,,,340932,,2014-09-29T22:20:21.053924+00:00,ptmadmin,281767,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1451896258,39.9484418078,200 Chestnut St,Philadelphia,19106,,,360897,,2014-09-29T22:20:21.123497+00:00,ptmadmin,281770,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1474134832,39.9504523335,,Philadelphia,19106,,,369885,,2014-09-29T22:20:23.270406+00:00,ptmadmin,281862,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1474955383,39.9489703631,51 South 4th Street,Philadelphia,19106,,,370096,,2014-09-29T22:20:28.329868+00:00,ptmadmin,282084,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1466699839,39.9493631394,321 Chestnut St,Philadelphia,19106,,,3096540,,2018-04-07T22:17:12.709749+00:00,leedelap,2753450,True,Maclura,pomifera,,,Osage orange,,,,,,,,,,,,
-75.1435916126,39.9507815012,24 N 2nd St,Philadelphia,19106,,,3096541,,2018-04-07T22:19:34.918324+00:00,leedelap,2753451,True,Magnolia,grandiflora,,,Southern magnolia,,,,,,,,,,,,
-75.143622458,39.9508524391,N American St,Philadelphia,19106,,,3096542,,2018-04-07T22:19:54.740836+00:00,leedelap,2753452,True,Maclura,pomifera,,,Osage orange,,,,,,,,,,,,
-75.1438933611,39.9508061753,210 Filbert St,Philadelphia,19106,,,3096543,,2018-04-07T22:19:42.559382+00:00,leedelap,2753453,True,Aucuba,spp,,,Acuba,,,,,,,,,,,,
-75.1448584199,39.952371109,111 N 3rd St,Philadelphia,19106,,,3096544,,2018-04-07T22:21:22.653084+00:00,leedelap,2753454,True,Magnolia,grandiflora,,,Southern magnolia,,,,,,,,,,,,
